Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Maximum_edit_distance,Maximum_AS_path_length,Number_of_incomplete_packets,Labels
45,3,60,8,5,5,0.8,11,1,Normal
55,6,95,34,6,6,1,11,2,Normal
56,3,83,21,5,5,0.9,7,6,Normal
39,5,52,18,5,5,0.7,9,0,Normal
120,5,313,7,7,7,2,11,5,Normal
138,7,362,110,7,7,2.4,13,9,Normal
43,7,94,31,6,6,0.8,13,8,Normal
58,2,116,5,5,5,100,7,5,Normal
54,7,92,22,5,5,1,7,9,Normal
61,6,113,44,5,5,1.1,14,10,Normal
51,5,92,21,6,6,0.9,17,6,Normal
68,5,144,13,6,6,1.2,17,2,Normal
50,8,79,63,5,5,0.9,8,5,Normal
88,6,235,19,7,7,1.5,12,7,Normal
23,5,36,13,7,7,0.4,11,5,Normal
86,5,455,8,5,5,1.5,11,6,Normal
1360,3,4389,11,5,5,22,15,99,Normal
805,6,2845,16,5,5,13,12,31,Normal
1239,5,4368,12,5,5,20,14,102,Normal
40,3,54,4,5,5,0.7,7,3,Normal
477,5,1970,44,5,5,8,15,20,Normal
805,5,3016,23,5,5,13,14,46,Normal
69,5,165,15,6,6,1.2,10,8,Normal
72,7,182,62,7,7,1.3,12,1,Normal
84,4,271,22,6,6,1.4,9,5,Normal
72,4,156,38,7,7,1.2,12,13,Normal
56,6,98,22,7,7,1,11,12,Normal
67,8,109,45,6,6,1.2,11,6,Normal
77,4,238,6,5,5,1.3,10,12,Normal
40,3,60,19,6,6,0.7,11,4,Normal
75,8,174,67,7,7,1.3,12,9,Normal
61,5,130,15,6,7,1.1,10,3,Normal
36,7,73,33,5,5,0.7,8,4,Normal
65,5,117,13,6,6,1.1,10,10,Normal
60,5,165,45,6,6,1,16,11,Normal
62,7,188,35,6,6,1.1,14,7,Normal
46,5,102,20,6,6,0.8,14,5,Normal
71,7,568,18,5,6,1.3,8,3,Normal
110,6,907,38,5,5,1.9,9,2,Normal
44,6,128,44,5,5,0.8,9,0,Normal
56,1,100,2,6,6,0.9,13,0,Normal
49,6,104,24,6,6,0.9,10,0,Normal
58,7,96,31,6,6,1,12,1,Normal
69,6,91,25,7,7,1.2,15,7,Normal
110,8,145,33,7,7,1.9,15,2,Normal
106,5,310,13,7,7,1.8,14,1,Normal
153,5,566,20,7,7,2.6,14,4,Normal
69,7,104,26,7,7,1.2,14,4,Normal
35,8,56,18,6,6,0.7,12,3,Normal
44,4,437,55,6,6,0.8,10,3,Normal
59,5,159,14,7,7,1,12,2,Normal
46,7,110,11,6,6,0.8,10,1,Normal
38,5,99,16,6,6,0.7,11,5,Normal
56,7,152,17,5,5,1,9,4,Normal
93,6,254,87,8,8,1.6,15,9,Normal
97,7,196,19,7,7,1.7,14,6,Normal
60,7,140,32,7,7,1.1,13,2,Normal
137,5,277,23,7,7,2.3,13,7,Normal
203,6,421,114,8,8,3.4,15,15,Normal
95,5,250,14,7,7,1.6,11,8,Normal
48,7,101,30,6,6,0.9,12,3,Normal
83,3,169,20,7,7,1.4,14,0,Normal
105,8,298,52,8,8,1.8,13,9,Normal
56,7,126,47,6,6,1,13,0,Normal
81,8,287,78,7,7,1.4,13,9,Normal
56,5,152,20,7,7,1,12,5,Normal
53,5,140,18,8,7,0.9,13,3,Normal
44,5,119,21,6,6,0.8,14,0,Normal
43,3,83,6,5,5,0.7,12,0,Normal
40,5,85,53,7,8,0.7,13,0,Normal
65,4,141,9,6,6,1.1,14,0,Normal
46,4,85,18,6,6,0.8,12,0,Normal
37,7,77,12,6,6,0.7,10,3,Normal
38,5,82,17,6,6,0.7,12,1,Normal
56,6,105,21,6,6,1,15,4,Normal
68,5,207,91,7,7,1.2,14,3,Normal
106,4,289,37,7,7,1.8,15,3,Normal
81,7,217,19,6,6,1.4,12,7,Normal
83,5,161,26,6,6,1.4,15,6,Normal
86,6,213,52,6,6,1.5,14,12,Normal
61,3,138,13,6,6,1,10,5,Normal
45,4,135,45,7,7,0.8,10,3,Normal
140,4,355,56,7,7,2.4,13,12,Normal
89,5,221,58,7,6,1.5,10,9,Normal
78,3,219,27,7,7,1.3,14,2,Normal
131,6,321,69,6,6,2.2,14,6,Normal
31,2,72,20,6,6,0.5,13,2,Normal
97,3,196,12,6,6,1.6,14,12,Normal
88,6,257,39,6,6,1.5,17,10,Normal
76,5,599,52,7,7,1.3,13,8,Normal
97,5,251,29,7,7,1.7,14,10,Normal
71,5,184,24,7,7,1.2,17,11,Normal
51,5,75,53,6,6,0.9,11,7,Normal
81,4,230,21,7,7,1.4,12,8,Normal
58,7,104,21,6,7,1,13,10,Normal
64,6,90,23,7,7,1.1,14,13,Normal
53,6,107,17,7,7,0.9,16,5,Normal
50,7,96,17,8,8,0.9,16,9,Normal
41,6,54,40,7,7,0.7,13,5,Normal
58,5,112,13,6,6,1,12,9,Normal
63,8,127,26,6,6,1.1,12,9,Normal
124,7,454,17,6,6,2.1,15,15,Normal
63,7,271,23,6,6,1.1,11,3,Normal
79,8,303,121,6,6,1.4,15,5,Normal
82,6,264,24,5,6,1.4,15,7,Normal
47,5,113,68,7,7,0.8,16,4,Normal
96,3,347,43,6,7,1.6,16,13,Normal
100,7,269,12,8,8,1.7,11,2,Normal
44,6,71,9,6,6,0.8,10,3,Normal
139,11,887,530,6,6,2.5,10,16,Normal
194,9,989,383,7,6,3.3,12,34,Normal
120,8,469,223,7,7,2.1,12,19,Normal
59,4,207,121,6,6,1,14,8,Normal
51,5,90,22,8,8,0.9,15,0,Normal
62,4,205,10,6,6,1.1,15,3,Normal
54,8,163,65,7,7,1,18,12,Normal
49,4,101,19,6,6,0.8,10,8,Normal
42,5,67,17,5,5,0.7,7,5,Normal
33,2,48,2,5,5,0.5,10,3,Normal
57,7,71,26,6,6,1,11,5,Normal
61,6,101,13,6,6,1.1,10,6,Normal
72,5,136,69,7,7,1.2,10,3,Normal
63,7,80,32,5,5,1.1,7,5,Normal
55,5,108,18,6,6,100,16,2,Normal
63,6,94,25,6,6,1.1,16,7,Normal
69,8,113,45,7,7,1.2,11,6,Normal
63,7,130,10,6,6,1.1,12,1,Normal
72,4,138,13,5,5,1.2,12,9,Normal
69,4,106,17,6,6,1.2,13,3,Normal
75,5,162,17,6,6,1.3,12,6,Normal
43,7,86,20,6,6,0.8,12,2,Normal
75,4,192,15,5,5,1.3,7,16,Normal
65,7,141,34,6,6,1.2,12,10,Normal
60,5,123,9,6,6,1,11,8,Normal
57,6,82,24,6,6,1,13,6,Normal
87,6,119,35,6,6,1.5,14,21,Normal
87,9,143,50,6,6,1.6,13,10,Normal
68,7,149,71,6,6,1.2,15,3,Normal
104,8,289,52,7,7,1.8,14,1,Normal
65,4,159,20,6,6,1.1,14,3,Normal
40,4,160,21,7,6,0.7,12,3,Normal
56,7,131,308,6,6,1,12,4,Normal
81,6,137,87,6,6,1.4,10,12,Normal
88,7,405,22,6,6,1.5,11,15,Normal
73,7,204,41,7,7,1.3,13,13,Normal
76,6,142,41,5,6,1.3,11,5,Normal
44,3,63,8,5,5,0.7,10,1,Normal
116,8,331,22,5,5,2,14,5,Normal
56,7,109,26,6,6,1,12,1,Normal
103,4,235,55,6,6,1.7,10,8,Normal
85,8,295,78,7,7,1.5,13,1,Normal
52,5,151,89,6,6,0.9,10,2,Normal
45,5,117,72,6,6,0.8,12,3,Normal
40,6,59,24,6,6,0.7,11,1,Normal
71,6,96,18,7,6,1.2,12,7,Normal
46,8,92,24,7,7,0.9,13,3,Normal
38,5,54,6,7,6,0.7,13,0,Normal
32,6,48,21,7,7,0.6,12,0,Normal
132,4,518,38,6,6,2.2,12,9,Normal
172,4,602,18,7,7,2.9,11,11,Normal
63,4,111,17,7,7,1.1,13,9,Normal
76,6,95,22,6,6,1.3,13,11,Normal
69,6,102,11,7,7,1.2,13,14,Normal
39,7,126,95,6,6,0.7,9,7,Normal
52,8,293,84,6,6,100,10,9,Normal
51,6,72,24,7,7,0.9,13,5,Normal
46,6,65,12,6,6,0.8,13,6,Normal
48,5,63,14,6,6,0.8,16,4,Normal
77,6,103,27,6,6,1.3,15,7,Normal
67,6,101,19,6,6,1.2,14,3,Normal
73,7,137,28,6,6,1.3,12,9,Normal
63,6,143,72,7,7,1.1,12,5,Normal
67,5,180,25,7,6,1.2,11,4,Normal
63,5,315,69,6,6,1.1,10,3,Normal
95,5,457,17,7,7,1.6,12,7,Normal
67,7,112,27,6,6,1.2,11,10,Normal
31,5,61,12,6,6,0.6,11,2,Normal
51,6,87,60,5,5,0.9,11,1,Normal
67,2,125,7,7,7,1.1,12,0,Normal
60,5,109,27,7,7,1,13,0,Normal
86,5,155,17,7,7,1.5,14,0,Normal
60,4,115,20,7,7,1,14,1,Normal
67,6,129,34,7,7,1.2,15,5,Normal
57,8,106,36,7,7,1,12,11,Normal
69,6,110,24,6,6,1.2,13,8,Normal
49,4,73,19,6,6,0.8,13,6,Normal
49,7,68,20,6,6,0.9,11,0,Normal
48,4,74,14,6,6,0.8,11,3,Normal
71,6,199,77,7,7,1.2,12,4,Normal
67,3,170,25,7,7,1.1,15,8,Normal
56,7,99,22,6,6,1,12,12,Normal
50,7,105,26,6,6,0.9,10,12,Normal
57,5,112,29,6,6,1,12,5,Normal
51,8,109,21,7,7,0.9,18,2,Normal
130,8,282,81,7,7,2.3,18,8,Normal
49,7,283,26,7,7,0.9,18,4,Normal
44,6,224,114,6,6,0.8,12,5,Normal
55,6,142,17,6,6,1,9,11,Normal
31,4,37,6,5,5,0.5,10,10,Normal
50,5,235,70,7,7,0.9,18,0,Normal
63,5,188,38,6,7,1.1,13,2,Normal
101,6,273,12,6,6,1.7,12,4,Normal
73,4,156,44,6,6,1.2,11,4,Normal
58,7,101,19,7,7,1,14,2,Normal
69,5,171,27,7,7,1.2,15,1,Normal
48,6,73,10,7,8,0.9,13,2,Normal
40,5,54,9,6,6,0.7,15,2,Normal
26,6,30,76,6,6,0.5,14,5,Normal
69,6,170,13,6,6,1.2,13,14,Normal
33,6,57,24,5,5,0.6,8,7,Normal
39,5,88,22,6,6,0.7,10,4,Normal
31,5,37,10,6,6,0.6,10,8,Normal
42,5,64,14,6,5,0.7,10,11,Normal
58,5,100,35,6,6,1,11,7,Normal
60,6,126,15,6,6,1.1,11,4,Normal
58,5,123,15,6,6,1,9,9,Normal
57,6,159,48,5,5,1,8,7,Normal
61,6,131,37,5,5,1.1,7,6,Normal
79,6,273,24,6,6,1.4,18,11,Normal
48,5,102,16,6,6,0.8,8,2,Normal
66,5,140,74,7,7,1.1,12,2,Normal
56,7,140,13,6,6,1,10,3,Normal
21,5,21,9,6,5,0.4,10,5,Normal
27,4,33,9,6,6,0.5,8,4,Normal
27,6,64,64,7,7,0.5,12,5,Normal
111,4,330,26,8,8,1.9,13,2,Normal
45,3,111,3,7,7,0.8,11,0,Normal
148,6,322,42,6,6,2.5,21,12,Normal
55,7,96,16,7,7,1,21,5,Normal
65,6,94,14,6,6,1.1,11,13,Normal
80,6,129,11,6,6,1.4,10,16,Normal
51,4,71,9,7,6,0.9,13,12,Normal
58,8,83,16,6,6,1.1,11,17,Normal
92,5,191,22,5,5,1.6,14,5,Normal
96,5,230,19,6,6,1.6,12,4,Normal
51,7,162,64,7,7,0.9,13,5,Normal
101,7,433,59,6,6,1.8,15,4,Normal
134,5,301,22,6,6,2.3,14,1,Normal
48,5,82,8,6,6,0.8,12,10,Normal
40,6,54,13,5,5,0.7,10,3,Normal
48,6,94,78,5,5,0.9,10,7,Normal
96,7,394,55,5,6,1.7,11,19,Normal
94,7,396,27,6,6,1.6,10,19,Normal
117,5,265,37,6,6,2,13,9,Normal
59,6,140,21,6,6,1,10,19,Normal
46,7,60,22,6,6,0.8,10,7,Normal
41,5,53,7,6,6,0.7,10,7,Normal
56,5,101,78,6,6,1,11,4,Normal
109,6,312,17,8,8,1.9,21,8,Normal
40,6,58,12,6,6,0.7,14,6,Normal
76,8,134,33,7,7,1.4,14,2,Normal
78,7,394,105,7,7,1.4,21,5,Normal
93,7,178,87,8,8,1.6,21,9,Normal
262,6,1143,34,6,7,4.4,24,29,Normal
158,6,625,56,7,7,2.7,24,29,Normal
52,6,99,50,5,5,0.9,13,16,Normal
126,7,275,95,6,6,2.2,12,7,Normal
65,8,124,32,6,6,1.2,15,7,Normal
42,4,50,14,6,6,0.7,14,1,Normal
44,3,64,7,6,6,0.7,11,14,Normal
59,4,151,40,8,8,1,13,7,Normal
43,6,94,42,8,8,0.8,12,3,Normal
34,5,84,70,5,5,0.6,14,6,Normal
40,3,99,6,5,5,0.7,9,7,Normal
32,5,65,18,5,5,0.6,9,5,Normal
48,5,190,35,6,6,0.8,13,2,Normal
53,6,145,70,5,5,0.9,7,8,Normal
72,3,231,3,5,5,1.2,9,11,Normal
65,5,204,23,6,7,1.1,15,11,Normal
58,3,150,18,6,6,1,13,6,Normal
45,7,135,28,6,6,0.8,12,4,Normal
27,5,37,91,6,6,0.5,11,1,Normal
96,9,268,28,6,6,1.7,11,18,Normal
57,6,84,23,6,6,1,10,7,Normal
79,8,136,48,6,6,1.4,12,10,Normal
89,7,205,32,7,7,1.6,15,10,Normal
104,7,288,46,6,6,1.8,18,13,Normal
91,5,350,33,6,6,1.6,12,5,Normal
105,6,453,19,6,6,1.8,11,8,Normal
53,7,81,153,6,6,100,14,8,Normal
72,6,134,35,6,6,1.3,14,10,Normal
61,7,127,34,5,6,1.1,10,7,Normal
56,4,79,11,7,7,100,15,19,Normal
31,7,49,19,6,6,0.6,16,6,Normal
56,7,89,18,6,6,1,9,10,Normal
72,5,132,14,7,6,1.2,19,11,Normal
73,8,124,18,5,5,1.3,10,6,Normal
89,9,144,51,6,6,1.6,13,7,Normal
71,6,123,40,6,6,1.2,13,6,Normal
70,6,172,19,6,6,1.2,15,3,Normal
52,5,96,36,7,6,0.9,21,3,Normal
59,6,123,35,6,6,1,21,6,Normal
72,5,139,28,7,7,1.2,24,9,Normal
85,8,243,62,7,7,1.5,23,4,Normal
93,6,181,38,6,6,1.6,19,3,Normal
55,5,111,21,6,6,100,10,0,Normal
55,6,108,18,6,6,1,9,3,Normal
66,4,117,23,5,5,1.1,13,11,Normal
54,5,93,7,7,7,0.9,21,8,Normal
65,8,97,68,6,7,1.2,21,3,Normal
93,8,179,32,7,7,1.6,25,5,Normal
70,4,138,35,6,6,1.2,13,5,Normal
63,5,136,17,6,6,1.1,14,13,Normal
63,5,135,14,7,7,1.1,13,3,Normal
85,7,167,28,7,7,1.5,13,5,Normal
104,7,248,21,7,7,1.8,13,5,Normal
79,6,139,52,7,8,1.4,14,7,Normal
62,8,128,39,7,7,1.1,18,3,Normal
94,5,585,18,6,6,1.6,14,42,Normal
153,4,411,32,6,6,2.6,17,16,Normal
44,5,91,36,6,6,0.8,9,3,Normal
89,5,235,38,7,7,1.5,13,8,Normal
89,5,207,34,6,6,1.5,12,14,Normal
99,6,224,15,7,7,1.7,14,25,Normal
110,8,252,26,6,6,1.9,11,35,Normal
97,6,330,24,6,6,1.7,11,27,Normal
100,4,350,19,6,6,1.7,10,35,Normal
75,5,257,30,6,6,1.3,13,22,Normal
83,3,226,15,6,6,1.4,13,30,Normal
56,8,99,33,6,6,1,13,21,Normal
44,4,67,4,6,6,0.8,11,9,Normal
45,5,68,39,7,7,0.8,15,11,Normal
74,4,158,7,6,6,1.3,11,7,Normal
57,5,93,27,6,6,1,12,11,Normal
42,5,70,12,6,6,0.7,9,12,Normal
33,5,47,10,6,6,0.6,12,5,Normal
45,4,89,9,6,6,0.8,19,5,Normal
82,7,120,29,8,8,1.4,23,15,Normal
57,6,87,18,7,7,1,23,10,Normal
45,7,123,29,7,6,0.8,14,2,Normal
87,6,145,18,6,6,1.5,19,9,Normal
65,8,127,55,6,7,1.2,22,7,Normal
51,7,114,26,7,7,0.9,22,12,Normal
65,5,100,29,6,6,1.1,24,12,Normal
58,6,307,29,6,6,1,24,10,Normal
88,8,381,12,6,6,1.6,11,6,Normal
74,8,139,46,6,6,1.3,13,5,Normal
101,7,173,36,6,6,1.8,12,22,Normal
103,7,172,43,6,6,1.8,11,11,Normal
76,6,123,11,6,6,1.3,13,8,Normal
55,7,88,31,6,6,1,12,6,Normal
105,8,167,20,6,6,1.8,15,14,Normal
70,6,111,33,7,7,1.2,13,13,Normal
112,5,425,16,7,7,1.9,16,11,Normal
52,7,131,38,6,6,0.9,8,5,Normal
63,4,238,16,6,6,1.1,10,13,Normal
75,6,279,24,6,6,1.3,14,13,Normal
54,5,91,22,7,7,0.9,15,9,Normal
63,5,89,15,7,7,1.1,15,7,Normal
63,6,81,26,8,8,1.1,14,6,Normal
89,8,114,29,7,7,1.6,16,19,Normal
82,5,114,26,6,6,1.4,15,13,Normal
63,4,101,11,6,6,1.1,15,11,Normal
72,6,174,55,6,6,1.3,15,12,Normal
82,8,148,51,6,6,1.5,11,7,Normal
72,7,99,66,7,7,1.3,13,5,Normal
114,8,200,39,7,7,2,14,8,Normal
105,5,184,38,7,7,1.8,15,15,Normal
86,5,155,20,7,7,1.5,15,10,Normal
95,6,173,40,8,8,1.6,16,21,Normal
101,7,189,62,7,7,1.8,15,16,Normal
67,6,113,33,6,6,1.2,14,13,Normal
122,7,368,24,6,6,2.1,13,23,Normal
116,8,292,53,5,5,2,9,27,Normal
105,5,293,15,6,6,1.8,12,17,Normal
110,7,237,46,6,6,1.9,13,12,Normal
79,7,135,13,7,7,1.4,13,11,Normal
61,6,104,18,6,6,1.1,12,13,Normal
153,7,562,16,7,7,2.6,18,12,Normal
129,8,355,229,7,7,2.2,13,25,Normal
134,7,490,35,7,7,2.3,13,13,Normal
80,7,341,76,7,7,1.4,14,11,Normal
154,9,556,394,7,6,2.7,13,10,Normal
150,6,420,111,6,6,2.6,13,10,Normal
97,7,210,83,8,8,1.7,15,12,Normal
116,5,374,61,7,7,2,17,3,Normal
116,7,209,227,7,7,2,17,6,Normal
106,6,335,30,5,5,1.8,10,9,Normal
99,6,228,67,7,7,1.7,13,12,Normal
33,3,55,28,6,6,0.6,11,6,Normal
81,8,217,57,7,7,1.4,12,8,Normal
89,6,173,266,6,6,1.5,10,15,Normal
81,5,127,40,6,6,1.4,12,11,Normal
57,6,100,22,6,6,1,9,9,Normal
62,7,98,36,7,7,1.1,21,13,Normal
65,5,163,47,7,7,1.1,14,18,Normal
83,6,193,39,7,7,1.4,11,15,Normal
76,6,167,54,6,6,1.3,19,18,Normal
85,7,165,18,7,7,1.5,21,7,Normal
83,6,173,26,8,8,1.4,21,7,Normal
61,3,125,6,7,7,1,20,4,Normal
94,7,196,51,7,7,1.6,12,12,Normal
74,5,152,11,6,6,1.3,13,10,Normal
80,5,137,10,6,6,1.4,15,16,Normal
119,7,276,100,6,6,2.1,15,13,Normal
106,6,219,50,7,7,1.8,12,12,Normal
169,7,385,56,7,7,2.9,16,27,Normal
191,8,395,73,7,7,3.3,15,28,Normal
99,6,222,129,7,7,1.7,14,26,Normal
76,4,165,65,6,6,1.3,16,20,Normal
66,5,175,76,6,6,1.1,10,17,Normal
48,4,89,7,6,6,0.8,14,9,Normal
46,5,103,14,6,6,0.8,12,7,Normal
72,8,154,14,6,6,1.3,19,12,Normal
67,5,110,28,6,6,1.2,12,11,Normal
92,8,152,19,6,6,1.6,9,17,Normal
65,5,116,20,6,6,1.1,15,15,Normal
43,6,67,33,6,6,0.8,15,5,Normal
64,7,135,31,6,6,1.1,12,8,Normal
80,6,263,17,7,6,1.4,14,3,Normal
80,6,206,49,7,7,1.4,14,11,Normal
76,5,236,15,6,6,1.3,14,13,Normal
64,3,135,5,6,6,1.1,22,15,Normal
30,5,54,18,6,6,0.5,9,4,Normal
57,7,205,18,6,6,1,9,17,Normal
84,6,263,51,6,6,1.5,9,14,Normal
50,4,80,8,6,6,0.9,12,10,Normal
93,7,477,34,6,6,1.6,12,5,Normal
55,6,306,27,6,6,1,11,5,Normal
115,6,558,11,6,6,2,12,10,Normal
64,7,187,56,6,6,1.1,13,12,Normal
82,5,240,10,6,6,1.4,13,20,Normal
86,7,172,34,6,6,1.5,12,14,Normal
90,6,251,13,6,6,1.6,12,7,Normal
45,5,95,27,6,6,0.8,12,8,Normal
64,6,489,22,6,6,1.1,12,16,Normal
53,6,433,13,6,7,0.9,14,10,Normal
73,9,139,36,6,6,1.3,14,7,Normal
52,5,83,13,6,6,0.9,14,8,Normal
63,8,137,79,6,6,1.1,9,6,Normal
109,8,253,129,6,6,1.9,10,10,Normal
75,4,163,99,6,6,1.3,9,15,Normal
60,5,140,10,6,6,1,14,17,Normal
72,8,144,43,6,6,1.3,13,16,Normal
65,6,162,39,6,6,1.1,11,11,Normal
90,7,261,53,6,6,1.6,10,15,Normal
72,7,195,16,6,6,1.3,10,11,Normal
46,6,80,27,6,6,0.8,12,2,Normal
144,7,459,35,5,5,2.5,14,5,Normal
189,5,552,16,5,5,3.2,14,5,Normal
72,5,122,31,6,6,1.2,14,10,Normal
50,7,55,28,6,6,0.9,9,9,Normal
61,6,146,113,6,6,1.1,14,9,Normal
80,6,187,20,6,6,1.4,15,5,Normal
87,4,277,23,6,6,1.5,10,10,Normal
106,7,278,112,6,6,1.8,13,11,Normal
139,7,455,109,6,6,2.4,14,28,Normal
227,8,815,18,6,6,3.9,14,35,Normal
97,7,422,77,6,6,1.7,14,18,Normal
85,3,231,8,6,6,1.4,11,11,Normal
78,5,155,14,6,6,1.3,11,12,Normal
125,5,407,76,5,5,2.1,12,15,Normal
63,7,96,18,6,6,1.1,11,2,Normal
88,7,157,27,6,6,1.5,13,7,Normal
132,7,478,33,6,6,2.3,14,23,Normal
47,5,128,29,7,7,0.8,12,5,Normal
46,5,67,14,6,6,0.8,14,3,Normal
53,7,114,28,6,6,100,12,10,Normal
51,6,101,17,6,6,0.9,11,10,Normal
76,8,144,55,6,6,1.4,12,5,Normal
99,6,183,32,7,6,1.7,10,5,Normal
87,7,144,45,6,6,1.5,11,16,Normal
81,5,222,25,6,6,1.4,13,16,Normal
80,6,292,25,7,7,1.4,16,15,Normal
68,4,182,14,7,7,1.2,13,14,Normal
53,5,87,14,7,7,0.9,18,11,Normal
80,6,125,21,6,6,1.4,13,18,Normal
82,7,133,17,6,6,1.4,19,15,Normal
57,7,104,27,8,8,1,22,9,Normal
114,8,186,46,6,6,2,21,19,Normal
114,7,209,51,7,7,2,21,13,Normal
79,7,115,23,7,7,1.4,24,17,Normal
51,6,146,43,6,6,0.9,8,9,Normal
61,7,92,10,6,6,1.1,14,12,Normal
49,5,80,16,6,6,0.9,12,18,Normal
38,4,57,6,5,5,0.7,7,7,Normal
46,6,94,32,6,6,0.8,8,14,Normal
43,4,88,25,6,6,0.7,10,14,Normal
227,9,571,30,7,7,3.9,14,25,Normal
111,7,300,21,6,6,1.9,11,19,Normal
91,7,208,29,6,6,1.6,11,13,Normal
90,5,249,23,6,6,1.5,11,13,Normal
82,4,169,11,7,7,1.4,14,7,Normal
62,6,95,39,6,6,1.1,12,8,Normal
64,6,151,33,6,6,1.1,11,14,Normal
122,10,309,129,6,6,2.2,10,23,Normal
82,6,160,47,6,6,1.4,12,21,Normal
104,5,271,33,7,7,1.8,14,26,Normal
103,4,283,15,6,6,1.7,13,38,Normal
52,3,153,11,6,6,0.9,9,2,Normal
141,6,357,24,6,6,2.4,9,25,Normal
158,6,474,161,7,7,2.7,9,32,Normal
77,7,200,159,6,6,1.4,10,14,Normal
110,5,325,184,8,8,1.9,14,22,Normal
52,5,82,36,7,8,0.9,12,17,Normal
38,7,80,196,6,6,0.7,8,10,Normal
47,5,87,8,6,6,0.8,14,10,Normal
48,8,69,28,7,7,0.9,14,12,Normal
53,6,82,28,7,7,0.9,15,8,Normal
48,7,70,35,7,7,0.9,15,3,Normal
74,6,158,11,6,6,1.3,14,9,Normal
71,4,148,20,6,6,1.2,10,12,Normal
75,8,151,40,6,6,1.3,10,6,Normal
60,7,122,21,6,6,1.1,9,7,Normal
76,7,116,26,6,6,1.3,10,7,Normal
67,6,102,24,6,6,1.2,11,5,Normal
53,5,96,7,6,6,0.9,10,6,Normal
72,7,114,46,6,6,1.3,9,10,Normal
56,4,102,16,6,6,100,8,12,Normal
64,6,95,20,6,6,1.1,11,12,Normal
57,7,86,36,6,6,1,11,10,Normal
73,9,128,16,6,6,1.3,10,12,Normal
68,5,112,25,6,6,1.2,12,8,Normal
178,6,1983,42,5,5,3,11,37,Normal
557,8,9602,119,7,7,9.4,12,154,Normal
210,12,3933,769,7,7,3.7,12,56,Normal
128,15,1118,1024,9,9,2.3,14,51,Normal
163,18,2058,1582,10,9,3,14,46,Normal
103,4,248,43,9,8,1.7,14,21,Normal
52,25,122,2539,6,6,1.2,11,6,Normal
45,7,64,30,6,6,0.8,14,11,Normal
61,7,88,25,6,6,1.1,14,22,Normal
73,7,133,66,6,6,1.3,12,9,Normal
80,8,212,24,6,6,1.4,9,3,Normal
48,6,88,30,5,5,0.9,8,1,Normal
58,6,95,34,6,6,1,9,6,Normal
255,6,1802,348,5,5,4.3,16,13,Normal
60,6,121,8,6,6,1.1,11,13,Normal
140,7,535,34,5,6,2.4,13,12,Normal
188,5,554,21,5,5,3.2,14,13,Normal
151,5,586,16,6,6,2.6,15,15,Normal
131,5,639,10,5,5,2.2,16,12,Normal
95,5,335,9,6,6,1.6,18,6,Normal
80,4,101,13,6,6,1.4,10,9,Normal
57,6,140,26,7,7,1,12,2,Normal
75,6,188,18,7,7,1.3,10,6,Normal
121,5,248,11,7,7,2.1,13,13,Normal
56,6,87,43,6,6,1,10,8,Normal
47,4,121,15,6,6,0.8,9,4,Normal
47,7,105,24,6,6,0.9,11,10,Normal
37,6,81,29,6,6,0.7,10,10,Normal
45,8,86,20,6,6,0.8,10,14,Normal
58,5,97,19,6,6,1,9,12,Normal
47,6,108,26,5,6,0.8,8,9,Normal
72,8,153,16,6,6,1.3,8,14,Normal
54,8,72,35,6,6,1,9,12,Normal
37,6,55,17,6,6,0.7,8,14,Normal
48,6,61,30,6,6,0.9,10,12,Normal
32,5,63,30,6,6,0.6,10,7,Normal
56,5,137,10,7,6,1,8,6,Normal
56,6,125,22,6,6,1,13,9,Normal
76,8,122,34,6,6,1.4,11,13,Normal
60,5,95,31,6,6,1,9,8,Normal
48,5,60,7,6,6,0.8,10,9,Normal
89,7,182,34,6,6,1.6,11,13,Normal
66,6,138,32,6,6,1.2,13,12,Normal
55,6,97,12,6,6,1,13,4,Normal
53,5,69,18,6,6,0.9,11,12,Normal
62,5,112,22,6,6,1.1,10,18,Normal
66,8,131,29,6,6,1.2,14,8,Normal
63,6,136,21,6,6,1.1,10,11,Normal
64,7,106,18,6,6,1.1,11,8,Normal
32,5,47,16,6,6,0.6,12,7,Normal
47,6,66,18,6,6,0.8,9,1,Normal
71,6,102,23,6,6,1.2,12,10,Normal
53,8,72,25,7,7,1,15,8,Normal
67,5,108,11,7,7,1.2,15,11,Normal
51,1,111,2,7,7,0.8,15,9,Normal
24,4,36,12,6,6,0.4,9,7,Normal
45,5,105,7,6,6,0.8,11,7,Normal
41,4,76,36,6,6,0.7,16,7,Normal
63,7,139,48,6,6,1.1,15,12,Normal
60,5,193,50,5,6,1,10,10,Normal
175,5,716,134,6,6,300,11,11,Normal
40,4,84,13,5,5,0.7,8,10,Normal
69,7,175,23,5,6,1.2,10,11,Normal
44,4,69,33,6,6,0.8,8,3,Normal
54,4,94,35,7,7,0.9,13,11,Normal
49,6,65,33,6,6,0.9,12,11,Normal
47,6,87,24,7,7,0.8,17,8,Normal
62,6,141,16,7,7,1.1,17,13,Normal
46,5,195,78,7,7,0.8,16,3,Normal
52,3,99,63,6,6,0.9,10,9,Normal
168,6,904,69,6,6,2.9,16,25,Normal
